Time,clock,reset,auto_buffer_out_a_ready,auto_buffer_out_b_valid,auto_buffer_out_b_bits_opcode[2:0],auto_buffer_out_b_bits_param[1:0],auto_buffer_out_b_bits_size[3:0],auto_buffer_out_b_bits_source[1:0],auto_buffer_out_b_bits_address[31:0],auto_buffer_out_b_bits_mask[7:0],auto_buffer_out_b_bits_data[63:0],auto_buffer_out_b_bits_corrupt,auto_buffer_out_c_ready,auto_buffer_out_d_valid,auto_buffer_out_d_bits_opcode[2:0],auto_buffer_out_d_bits_param[1:0],auto_buffer_out_d_bits_size[3:0],auto_buffer_out_d_bits_source[1:0],auto_buffer_out_d_bits_sink[1:0],auto_buffer_out_d_bits_denied,auto_buffer_out_d_bits_data[63:0],auto_buffer_out_d_bits_corrupt,auto_buffer_out_e_ready,auto_int_local_in_2_0,auto_int_local_in_1_0,auto_int_local_in_1_1,auto_int_local_in_0_0,auto_hartid_in
0,0,1,0,1,000,11,1111,01,00000000000000000000001000111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,1,011,01,1000,10,00,1,0000000000000000000000000000000000000000000000000000000000000000,1,1,0,0,0,0,0
1,0,0,0,1,000,10,0100,01,10000000000000000000000000111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,000,01,0000,10,00,1,1111111111111111111111111111111111111111111111111111111111111111,0,0,0,0,0,0,0
2,0,0,0,1,000,11,1111,01,11111111111111111111111111111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,1,0,011,01,1000,10,00,1,1111111111111111111111111111111110100110000000000010110010101111,1,0,0,0,0,0,0
3,0,0,0,0,000,11,1111,01,00000000000000000000000000111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,1,1,001,01,0000,00,00,0,0000000000000000000000000000000010000000000000000000000000000000,0,1,0,0,0,1,0
4,0,0,1,1,000,11,1111,11,00000000000000000000111111111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,1,1,111,01,0000,10,00,1,0000000000000000000000000000111100000011000001000100010000111011,0,1,0,0,0,1,0
5,0,0,0,1,000,11,1111,01,00000000000000000000111111111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,1,110,01,0000,10,00,1,1111111111111111111111111111111111111111111111111111111111111111,0,1,0,0,0,0,0
6,0,0,1,1,000,11,1111,01,00000000000000000000111111111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,1,1,011,11,0011,00,00,1,0000000000000000000000000000000010000000000000000000000000000000,0,1,1,1,1,0,1
7,0,1,1,1,000,00,0000,11,11111111111000000000000000111111,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,1,1,101,00,0000,01,00,1,1111111111111111111111111111111111111111111111111111111111111111,0,1,1,1,1,0,1
8,0,0,1,0,000,00,0000,00,00000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,1,000,00,0000,01,00,0,0000000000000000000000000000000000000000000000000000000000000000,0,1,1,1,1,1,0
9,0,0,0,0,000,00,0000,00,00000000000000000000000000000000,00000000,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,000,00,0000,00,00,0,0000000000000000000000000000000000000000000000000000000000000000,0,0,0,0,0,0,0
